model,category,question_count,hallucination_score_avg,correctness_avg,completeness_avg,relevance_avg,regulatory_avg,semantic_similarity_avg
VisaMate,Initial F-1 Entry,10,0.312704372,0.687295628,0.775606386,0.657295345,0.18,0.775606386
VisaMate,CPT,10,0.3409499,0.6590501,0.738509491,0.666596693,0.27,0.738509491
VisaMate,OPT Application,10,0.246780206,0.753219794,0.773699131,0.742974436,0.27,0.773699131
VisaMate,STEM OPT,10,0.173436254,0.826563746,0.836688844,0.735109702,0.36,0.836688844
VisaMate,Job Loss & Unemployment,10,0.412975503,0.587024497,0.702567934,0.589407814,0.26,0.702567934
VisaMate,Travel & Re-entry,10,0.310602181,0.689397819,0.780021524,0.720590089,0.25,0.780021524
VisaMate,H-1B Transition,10,0.276515352,0.723484648,0.778284058,0.727475485,0.16,0.778284058
VisaMate,Remote Work,10,0.303567671,0.696432329,0.742551522,0.690861514,0.25,0.742551522
VisaMate,Multiple Jobs,10,0.314428755,0.685571245,0.749118488,0.723490757,0.29,0.749118488
VisaMate,Grace Period,10,0.370253056,0.629746944,0.751028311,0.754387692,0.17,0.751028311
VisaMate,Administrative Issues,20,0.157912831,0.842087169,0.817147204,0.756963245,0.245,0.817147204
VisaMate,Academic Issues,20,0.379261254,0.620738746,0.750148838,0.688696036,0.18,0.750148838
VisaMate,F-2 Dependents,20,0.1675326,0.8324674,0.811013097,0.812068167,0.19,0.811013097
VisaMate,Tax & Financial,20,0.414669574,0.585330426,0.747485516,0.709463223,0.055,0.747485516
VisaMate,Long-term Planning,20,0.277181422,0.722818578,0.798748284,0.770859929,0.145,0.798748284
GPT4o,Initial F-1 Entry,10,0.289288649,0.710711351,0.656702009,0.752107059,0.15,0.656702009
GPT4o,CPT,10,0.304792965,0.695207035,0.684050249,0.682715489,0.24,0.684050249
GPT4o,OPT Application,10,0.212687935,0.787312065,0.764282595,0.747419728,0.29,0.764282595
GPT4o,STEM OPT,10,0.233983185,0.766016815,0.790444602,0.754718854,0.27,0.790444602
GPT4o,Job Loss & Unemployment,10,0.564538676,0.435461324,0.60569859,0.745606175,0.13,0.60569859
GPT4o,Travel & Re-entry,10,0.315897508,0.684102492,0.704036189,0.736966357,0.26,0.704036189
GPT4o,H-1B Transition,10,0.281569226,0.718430774,0.75170804,0.750025054,0.13,0.75170804
GPT4o,Remote Work,10,0.427303274,0.572696726,0.691768066,0.743809747,0.17,0.691768066
GPT4o,Multiple Jobs,10,0.426875514,0.573124486,0.714625643,0.742329676,0.25,0.714625643
GPT4o,Grace Period,10,0.316922919,0.683077081,0.708408699,0.755384712,0.14,0.708408699
GPT4o,Administrative Issues,20,0.216332862,0.783667138,0.771515739,0.774482506,0.21,0.771515739
GPT4o,Academic Issues,20,0.55008559,0.44991441,0.61825869,0.765388961,0.11,0.61825869
GPT4o,F-2 Dependents,20,0.212220424,0.787779576,0.778711872,0.790849869,0.135,0.778711872
GPT4o,Tax & Financial,20,0.500163162,0.499836838,0.695834736,0.762256075,0.05,0.695834736
GPT4o,Long-term Planning,20,0.383645803,0.616354197,0.754975018,0.764954338,0.095,0.754975018
Claude,Initial F-1 Entry,10,0.496927121,0.503072879,0.608829752,0.735505395,0.12,0.608829752
Claude,CPT,10,0.349966245,0.650033755,0.669558022,0.708288634,0.26,0.669558022
Claude,OPT Application,10,0.204814581,0.795185419,0.751552865,0.750267792,0.34,0.751552865
Claude,STEM OPT,10,0.248312858,0.751687142,0.76858677,0.766487159,0.27,0.76858677
Claude,Job Loss & Unemployment,10,0.678595027,0.321404973,0.575524236,0.744259715,0.09,0.575524236
Claude,Travel & Re-entry,10,0.303678991,0.696321009,0.686427107,0.753920446,0.3,0.686427107
Claude,H-1B Transition,10,0.292166255,0.707833745,0.716404196,0.757941211,0.15,0.716404196
Claude,Remote Work,10,0.471728953,0.528271047,0.660335238,0.743450733,0.16,0.660335238
Claude,Multiple Jobs,10,0.447139003,0.552860997,0.705367996,0.764824933,0.26,0.705367996
Claude,Grace Period,10,0.347400032,0.652599968,0.652173636,0.742266205,0.14,0.652173636
Claude,Administrative Issues,20,0.205944318,0.794055682,0.757482561,0.771325761,0.22,0.757482561
Claude,Academic Issues,20,0.558401187,0.441598813,0.600252199,0.751207257,0.13,0.600252199
Claude,F-2 Dependents,20,0.209554596,0.790445404,0.758426055,0.788785818,0.165,0.758426055
Claude,Tax & Financial,20,0.545587275,0.454412725,0.680538974,0.757951235,0.05,0.680538974
Claude,Long-term Planning,20,0.391985879,0.608014121,0.733656951,0.767425697,0.08,0.733656951
